model_name,test_acc,test_auc,test_f1,test_loss
fc_mlp,0.5,0.35999998450279236,0.0,0.7041680812835693
gru,0.5,0.47999995946884155,0.0,0.7002197504043579
gcn,0.5,0.36000001430511475,0.0,0.693210244178772
graph_temporal,0.5,0.20000000298023224,0.0,0.6935323476791382
